BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LATITUDE,LONGITUDE,GROUPED CATEGORY
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,03 THREE FAMILY DWELLINGS,1,2131,35,,C0,534 WEST 175 STREET,,10033.0,3.0,0.0,3.0,1416.0,2592.0,1901.0,1,C0,997500,2022-07-15,,,Multi-family home
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,01 ONE FAMILY DWELLINGS,1,2157,84,,A5,434 AUDUBON AVENUE,,10033.0,1.0,0.0,1.0,1667.0,2472.0,1899.0,1,A5,1100000,2022-08-30,40.8523447,-73.9300064,Single-family home
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,07 RENTALS - WALKUP APARTMENTS,2B,2156,73,,C5,532 WEST 187TH STREET,,10033.0,7.0,0.0,7.0,1413.0,2164.0,1910.0,2,C5,999999,2023-03-01,40.852171999999996,-73.929463,Apartment
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,14 RENTALS - 4-10 UNIT,2A,2166,159,,S4,633 WEST 185 STREET,,10033.0,4.0,1.0,5.0,900.0,2521.0,1910.0,2,S4,730890,2023-02-03,,,Multi-family home
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,14 RENTALS - 4-10 UNIT,2A,2166,159,,S4,633 WEST 185TH,,10033.0,4.0,1.0,5.0,900.0,2521.0,1910.0,2,S4,926777,2022-05-20,40.852280900000004,-73.9329053,Multi-family home
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,2905,26,,A9,1667 WASHINGTON AVENUE,,10457.0,1.0,0.0,1.0,4750.0,3167.0,1899.0,1,A9,980000,2022-09-08,40.841559000000004,-73.901421,Single-family home
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,24,,A1,410 EAST 179TH STREET,,10457.0,1.0,0.0,1.0,1842.0,2048.0,1901.0,1,A1,655000,2022-11-01,40.8502176,-73.8988371,Single-family home
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,65,,A1,4455 PARK AVENUE,,10457.0,1.0,0.0,1.0,1622.0,1587.0,1899.0,1,A1,520000,2022-10-26,40.854034999999996,-73.89617799999998,Single-family home
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,66,,A1,4453 PARK AVENUE,,10457.0,1.0,0.0,1.0,1646.0,1497.0,1899.0,1,A1,215000,2023-04-18,40.8539858,-73.8962069,Single-family home
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,63,,A1,469 EAST 185 STREET,,10458.0,1.0,0.0,1.0,1650.0,1296.0,1910.0,1,A1,599000,2022-05-17,,,Single-family home
