BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5995,85,,A1,209-19 28TH ROAD,,11360.0,1.0,0.0,1.0,5260.0,2448.0,1935.0,1,A1,601194,2022-06-30
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5995,93,,A2,28-15 CORPORAL KENNEDY ST,,11360.0,1.0,0.0,1.0,5050.0,2352.0,1950.0,1,A2,1150000,2022-09-21
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5996,27,,A0,26-12 210TH PLACE,,11360.0,1.0,0.0,1.0,4000.0,1356.0,1945.0,1,A0,935000,2022-05-04
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5999,11,,A1,26-23 212TH STREET,,11360.0,1.0,0.0,1.0,5000.0,2656.0,1920.0,1,A1,1620000,2023-01-05
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6003,66,,A1,214-04 27TH AVENUE,,11360.0,1.0,0.0,1.0,4575.0,2400.0,1950.0,1,A1,1236000,2022-07-20
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6012,9,,A0,28-31 212TH STREET,,11360.0,1.0,0.0,1.0,5000.0,1952.0,1945.0,1,A0,1370000,2022-08-30
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6019,33,,A2,216-40 28TH ROAD,,11360.0,1.0,0.0,1.0,4284.0,1833.0,1960.0,1,A2,1300000,2022-05-31
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6019,53,,A1,28-27 LITTLE NECK BLVD,,11360.0,1.0,0.0,1.0,3990.0,1624.0,1965.0,1,A1,999000,2022-11-17
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6020,1,,A5,29-01 UTOPIA PARKWAY,,11358.0,1.0,0.0,1.0,1785.0,1258.0,1945.0,1,A5,830000,2022-06-07
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6022,14,,A1,29-18 200TH STREET,,11360.0,1.0,0.0,1.0,2500.0,1376.0,1930.0,1,A1,900000,2022-05-27
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6025,21,,A5,32-42 JORDAN STREET,,11358.0,1.0,0.0,1.0,3107.0,1080.0,1925.0,1,A5,805000,2022-10-11
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6026,18,,A5,32-26 200TH STREET,,11361.0,1.0,0.0,1.0,1958.0,1065.0,1925.0,1,A5,815000,2022-06-15
